0	it is dark , brooding and slow , and takes its central idea way too seriously .	It is dark, incubating and slow, and takes its central idea far too seriously.
0	to honestly address the flaws inherent in how medical aid is made available to american workers , a more balanced or fair portrayal of both sides will be needed .	In order to honestly correct the flaws inherent in the way medical assistance is made available to American workers, a more balanced or equitable representation on both sides will be necessary.
0	a sad and rote exercise in milking a played-out idea - - a straight guy has to dress up in drag - - that shockingly manages to be even worse than its title would imply .	a sad and rotten exercise in the trade of an idea played - - a right guy has to dress in the drag - that manages to be even worse than his title would imply.
1	ken russell would love this .	ken Russell would love that.
0	an incredibly irritating comedy about thoroughly vacuous people ... manages to embody the worst excesses of nouvelle vague without any of its sense of fun or energy .	An incredibly irritating comedy about people who are completely flickering... manages to embody the worst excesses of new wave without any sense of pleasure or energy.
0	clumsy , obvious , preposterous , the movie will likely set the cause of woman warriors back decades .	clumsy, obvious, absurd, the film will probably put the cause of women warriors back decades.
0	an unintentionally surreal kid ' s picture ... in which actors in bad bear suits enact a sort of inter-species parody of a vh1 behind the music episode .	an unintentionally surrealistic image of the child... in which the actors in bad bear costumes edict a sort of interspecies parody of a vh1 behind the musical episode.
0	takes a clunky tv-movie approach to detailing a chapter in the life of the celebrated irish playwright , poet and drinker .	adopts a clumsy tv-movie approach to detailing a chapter in the life of the famous Irish playwright, poet and drinker.
1	an extremely funny , ultimately heartbreaking look at life in contemporary china .	An extremely funny look, at the end of the day tearing up life in contemporary China.
1	move over bond ; this girl deserves a sequel .	moving on the link; this girl deserves a sequel.
1	if you ever wondered what it would be like to be smack in the middle of a war zone armed with nothing but a camera , this oscar-nominated documentary takes you there .	If you ever wondered what it would be like to be a smack in the middle of a war zone armed with nothing but a camera, this Oscar-winning documentary takes you there.
1	a terrific date movie , whatever your orientation .	a fantastic date film, whatever your orientation.
1	one of the best films i have ever seen , constantly pulling the rug from underneath us , seeing things from new sides , plunging deeper , getting more intense .	One of the best films I've ever seen, constantly pulling the carpet from under us, seeing things from new sides, diving deeper, becoming more intense.
1	remember it .	Remember that.
0	my precious new star wars movie is a lumbering , wheezy drag ...	My precious new star war movie is a logger, wheezy drag...
0	there is no psychology here , and no real narrative logic - - just a series of carefully choreographed atrocities , which become strangely impersonal and abstract .	There is no psychology here, and no real narrative logic - - just a series of carefully choreographed atrocities, which become strangely impersonal and abstract.
1	australian filmmaker david flatman uses the huge-screen format to make an old-fashioned nature film that educates viewers with words and pictures while entertaining them .	Australian filmmaker David Flatman uses the large screen format to create an old-fashioned film that educates viewers with words and images while entertaining them.
